time_ist,security_id,instrument_name,best_bid,best_ask,spread,total_bid_qty,total_ask_qty,total_bid_orders,total_ask_orders,imbalance_ratio,avg_bid_order_size,avg_ask_order_size,bid_vwap,ask_vwap,bid_50pct_level,ask_50pct_level
2025-12-29 14:10:09.813525,49543,NIFTY DEC 2025 FUT,25961.4,25963.3,1.9,108975,123900,465,626,0.8795,234.35,197.92,25925.94,25989.5,127,78
2025-12-29 14:10:10.209958,49543,NIFTY DEC 2025 FUT,25961.4,25963.2,1.8,114900,122550,472,611,0.9376,243.43,200.57,25927.82,25989.67,122,80
2025-12-29 14:10:10.406969,49543,NIFTY DEC 2025 FUT,25961.4,25963.2,1.8,115050,123150,473,619,0.9342,243.23,198.95,25927.87,25990.04,122,79
2025-12-29 14:10:10.606038,49543,NIFTY DEC 2025 FUT,25961.4,25963.2,1.8,114525,123225,467,620,0.9294,245.24,198.75,25928.08,25989.82,123,77
2025-12-29 14:10:10.805681,49543,NIFTY DEC 2025 FUT,25961.4,25963.2,1.8,114600,123675,468,626,0.9266,244.87,197.56,25928.05,25989.9,122,76
2025-12-29 14:10:11.006918,49543,NIFTY DEC 2025 FUT,25961.4,25963.2,1.8,114750,123900,470,629,0.9262,244.15,196.98,25927.84,25989.84,123,78
2025-12-29 14:10:11.406697,49543,NIFTY DEC 2025 FUT,25962.0,25963.3,1.3,114300,123975,467,629,0.922,244.75,197.1,25927.73,25989.86,124,77
2025-12-29 14:10:11.605820,49543,NIFTY DEC 2025 FUT,25962.0,25962.8,0.8,113925,123525,466,623,0.9223,244.47,198.27,25927.57,25989.51,125,78
2025-12-29 14:10:11.805915,49543,NIFTY DEC 2025 FUT,25962.0,25962.8,0.8,114000,123300,467,625,0.9246,244.11,197.28,25927.59,25989.75,124,78
2025-12-29 14:10:12.006169,49543,NIFTY DEC 2025 FUT,25962.0,25962.8,0.8,115050,122475,476,623,0.9394,241.7,196.59,25927.72,25990.26,121,79
2025-12-29 14:10:12.206393,49543,NIFTY DEC 2025 FUT,25962.0,25962.8,0.8,115050,122250,476,619,0.9411,241.7,197.5,25927.72,25990.18,121,80
2025-12-29 14:10:12.607295,49543,NIFTY DEC 2025 FUT,25962.0,25962.9,0.9,114450,121575,469,612,0.9414,244.03,198.65,25928.03,25990.27,122,81
2025-12-29 14:10:12.806361,49543,NIFTY DEC 2025 FUT,25962.1,25962.9,0.8,114825,116325,473,582,0.9871,242.76,199.87,25927.88,25991.34,123,88
