time,type,ltp,volume,oi,ltq,atp,total_buy_qty,total_sell_qty,open,high,low,close,bid_price_1,bid_qty_1,bid_orders_1,ask_price_1,ask_qty_1,ask_orders_1,bid_price_2,bid_qty_2,ask_price_2,ask_qty_2,bid_price_3,bid_qty_3,ask_price_3,ask_qty_3,bid_price_4,bid_qty_4,ask_price_4,ask_qty_4,bid_price_5,bid_qty_5,ask_price_5,ask_qty_5
2025-12-29 12:47:02.553384,full,25974.900390625,3333675,11148150,75,26024.109375,309225,421350,26080.0,26100.19921875,25972.400390625,26060.19921875,25974.80078125,525,7,25980.0,300,3,25974.69921875,600,25980.900390625,600,25974.599609375,2100,25981.0,75,25974.5,2475,25981.400390625,600,25974.400390625,2250,25981.5,75
2025-12-29 12:47:02.555390,oi,,,11148150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-29 12:47:02.881446,full,25974.900390625,3333675,11148150,75,26024.109375,309075,421350,26080.0,26100.19921875,25972.400390625,26060.19921875,25974.80078125,300,4,25980.0,300,3,25974.69921875,675,25980.900390625,600,25974.599609375,2100,25981.0,75,25974.5,2550,25981.400390625,600,25974.400390625,2250,25981.5,75
2025-12-29 12:47:03.977675,full,25980.0,3333750,11148150,75,26024.109375,309150,421500,26080.0,26100.19921875,25972.400390625,26060.19921875,25974.80078125,150,2,25980.0,225,2,25974.69921875,825,25980.900390625,600,25974.599609375,2175,25981.0,75,25974.5,2550,25981.400390625,600,25974.400390625,2925,25981.5,75
2025-12-29 12:47:04.674774,full,25980.0,3333825,11148150,75,26024.109375,308700,419175,26080.0,26100.19921875,25972.400390625,26060.19921875,25974.80078125,150,2,25980.0,150,2,25974.69921875,825,25980.900390625,600,25974.599609375,2100,25981.0,75,25974.5,2700,25981.400390625,600,25974.400390625,2700,25981.5,75
2025-12-29 12:47:05.574114,full,25980.0,3333825,11148150,75,26024.109375,308325,419475,26080.0,26100.19921875,25972.400390625,26060.19921875,25974.80078125,150,2,25980.0,150,2,25974.69921875,975,25980.900390625,600,25974.599609375,2100,25981.0,75,25974.5,2700,25981.400390625,600,25974.400390625,2625,25981.5,75
2025-12-29 12:47:06.281102,full,25980.0,3333825,11148150,75,26024.109375,303150,419925,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,75,1,25980.0,150,2,25974.80078125,150,25980.5,75,25974.69921875,900,25980.900390625,600,25974.599609375,2025,25981.0,75,25974.5,2100,25981.80078125,600
2025-12-29 12:47:07.372181,full,25980.0,3333825,11148150,75,26024.109375,297825,419475,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,375,5,25977.80078125,75,1,25974.80078125,75,25980.0,150,25974.69921875,375,25980.400390625,600,25974.599609375,900,25980.5,75,25974.5,2100,25980.900390625,600
2025-12-29 12:47:07.889825,full,25977.80078125,3333900,11154825,75,26024.099609375,301875,420600,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.099609375,300,4,25977.80078125,75,1,25974.900390625,150,25980.0,150,25974.80078125,225,25980.400390625,600,25974.69921875,300,25980.5,75,25974.599609375,1725,25980.900390625,600
2025-12-29 12:47:08.983174,full,25978.599609375,3334275,11154825,75,26024.099609375,303900,420675,26080.0,26100.19921875,25972.400390625,26060.19921875,25974.80078125,75,1,25978.599609375,75,1,25974.69921875,300,25980.0,450,25974.599609375,1950,25980.400390625,600,25974.5,2025,25980.5,75,25974.400390625,3150,25980.900390625,600
