time,instrument_token,trading_symbol,last_price,volume_traded,oi,last_traded_quantity,average_traded_price,total_buy_quantity,total_sell_quantity,day_open,day_high,day_low,day_close,change,last_trade_time,oi_delta,volume_delta,aggressor_side,cvd_change,depth_toxicity_tick,kyle_lambda_tick,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_qty_1,bid_qty_2,bid_qty_3,bid_qty_4,bid_qty_5,bid_orders_1,bid_orders_2,bid_orders_3,bid_orders_4,bid_orders_5,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_qty_1,ask_qty_2,ask_qty_3,ask_qty_4,ask_qty_5,ask_orders_1,ask_orders_2,ask_orders_3,ask_orders_4,ask_orders_5
2025-12-29 07:17:00+00:00,12683010,NIFTY25DECFUT,25978.50,3332925,11148150,75,26024.12,301125,417525,26080.00,26100.20,25972.40,26060.20,-0.31,2025-12-29 07:17:00+00:00,0,150,BUY,150,0.0211,0.000407,25975.60,25975.40,25975.20,25975.10,25975.00,75,300,825,1500,3525,1,4,7,15,23,25978.50,25979.90,25980.00,25980.20,25981.00,75,75,450,75,75,1,1,4,1,1
2025-12-29 07:17:02+00:00,12683010,NIFTY25DECFUT,25978.90,3333600,11148150,150,26024.11,305400,421575,26080.00,26100.20,25972.40,26060.20,-0.31,2025-12-29 07:17:01+00:00,0,0,NEUTRAL,0,1.0000,0.000000,25974.80,25974.70,25974.60,25974.50,25974.40,75,225,975,1875,2250,1,3,11,15,19,25980.00,25981.00,25981.40,25981.50,25981.80,300,75,600,75,600,3,1,1,1,1
2025-12-29 07:17:03+00:00,12683010,NIFTY25DECFUT,25974.90,3333675,11148150,75,26024.11,309225,421350,26080.00,26100.20,25972.40,26060.20,-0.33,2025-12-29 07:17:02+00:00,0,900,SELL,-900,0.0857,0.000067,25974.80,25974.70,25974.60,25974.50,25974.40,525,600,2100,2475,2250,7,8,18,21,18,25980.00,25980.90,25981.00,25981.40,25981.50,300,600,75,600,75,3,1,1,1,1
2025-12-29 07:17:04+00:00,12683010,NIFTY25DECFUT,25974.90,3333675,11148150,75,26024.11,309075,421350,26080.00,26100.20,25972.40,26060.20,-0.33,2025-12-29 07:17:02+00:00,0,75,SELL,-75,0.0078,0.000417,25974.80,25974.70,25974.60,25974.50,25974.40,300,675,2100,2550,2250,4,9,18,22,18,25980.00,25980.90,25981.00,25981.40,25981.50,300,600,75,600,75,3,1,1,1,1
2025-12-29 07:17:05+00:00,12683010,NIFTY25DECFUT,25980.00,3333675,11148150,75,26024.11,309075,421350,26080.00,26100.20,25972.40,26060.20,-0.31,2025-12-29 07:17:02+00:00,0,900,BUY,900,0.0863,0.000144,25974.80,25974.70,25974.60,25974.50,25974.40,300,675,2100,2550,2250,4,9,18,22,18,25980.00,25980.90,25981.00,25981.40,25981.50,300,600,75,600,75,3,1,1,1,1
2025-12-29 07:17:06+00:00,12683010,NIFTY25DECFUT,25980.00,3333825,11148150,75,26024.11,308700,419175,26080.00,26100.20,25972.40,26060.20,-0.31,2025-12-29 07:17:05+00:00,0,150,BUY,150,0.0148,0.000504,25974.80,25974.70,25974.60,25974.50,25974.40,150,825,2100,2700,2700,2,8,18,24,22,25980.00,25980.90,25981.00,25981.40,25981.50,150,600,75,600,75,2,1,1,1,1
2025-12-29 07:17:07+00:00,12683010,NIFTY25DECFUT,25980.00,3333825,11148150,75,26024.11,308325,419475,26080.00,26100.20,25972.40,26060.20,-0.31,2025-12-29 07:17:05+00:00,0,150,BUY,150,0.0147,0.000000,25974.80,25974.70,25974.60,25974.50,25974.40,150,975,2100,2700,2625,2,10,18,24,21,25980.00,25980.90,25981.00,25981.40,25981.50,150,600,75,600,75,2,1,1,1,1
2025-12-29 07:17:09+00:00,12683010,NIFTY25DECFUT,25977.80,3333900,11154825,75,26024.10,301875,420600,26080.00,26100.20,25972.40,26060.20,-0.32,2025-12-29 07:17:08+00:00,6675,75,BUY,75,0.0175,0.000515,25975.10,25974.90,25974.80,25974.70,25974.60,300,150,225,300,1725,4,2,3,4,15,25977.80,25980.00,25980.40,25980.50,25980.90,75,150,600,75,600,1,2,1,1,1
2025-12-29 07:17:10+00:00,12683010,NIFTY25DECFUT,25978.00,3333900,11154825,75,26024.10,301875,420600,26080.00,26100.20,25972.40,26060.20,-0.32,2025-12-29 07:17:08+00:00,6675,75,BUY,75,0.0175,0.000468,25975.10,25974.90,25974.80,25974.70,25974.60,300,150,225,300,1725,4,2,3,4,15,25977.80,25980.00,25980.40,25980.50,25980.90,75,150,600,75,600,1,2,1,1,1
2025-12-29 07:17:11+00:00,12683010,NIFTY25DECFUT,25977.80,3334350,11154825,75,26024.10,303975,419850,26080.00,26100.20,25972.40,26060.20,-0.32,2025-12-29 07:17:10+00:00,0,450,BUY,450,0.0458,0.000000,25974.80,25974.70,25974.60,25974.50,25974.40,75,300,1950,2175,3075,1,4,17,15,20,25978.60,25980.00,25980.90,25981.00,25981.20,75,450,600,75,600,1,3,1,1,1
2025-12-29 07:17:12+00:00,12683010,NIFTY25DECFUT,25977.80,3334350,11154825,75,26024.10,305925,419175,26080.00,26100.20,25972.40,26060.20,-0.32,2025-12-29 07:17:10+00:00,0,450,BUY,450,0.0426,0.000019,25974.80,25974.70,25974.60,25974.50,25974.40,150,450,2100,2475,3150,2,6,19,16,22,25978.60,25980.00,25980.90,25981.00,25981.20,75,450,600,75,600,1,3,1,1,1
2025-12-29 07:17:13+00:00,12683010,NIFTY25DECFUT,25974.90,3334425,11154825,75,26024.10,302550,420225,26080.00,26100.20,25972.40,26060.20,-0.33,2025-12-29 07:17:12+00:00,0,75,SELL,-75,0.0085,0.000330,25974.80,25974.70,25974.60,25974.50,25974.40,225,150,1725,2175,2625,2,2,14,19,14,25978.80,25980.00,25980.90,25981.00,25981.20,75,450,600,75,600,1,3,1,1,1
