time,trading_symbol,last_price,volume_delta,aggressor_side,cvd_change,oi,oi_delta,depth_toxicity_tick,kyle_lambda_tick
2025-12-29 04:06:44+00,,26097.80,415425,BUY,415425,10337325,-3553950,0.9893,0.000095
2025-12-29 04:06:45+00,,26097.80,375,BUY,375,10337325,0,0.0769,0.000000
2025-12-29 04:06:46+00,,26093.40,0,NEUTRAL,0,10337325,0,1.0000,0.000000
2025-12-29 04:06:47+00,,26093.50,300,SELL,-300,10337325,0,0.0296,0.000010
2025-12-29 04:06:50+00,,26099.60,1125,BUY,1125,10337325,0,0.1282,0.000707
2025-12-29 04:06:51+00,,26093.10,1200,SELL,-1200,10337325,0,0.0637,0.000021
2025-12-29 04:06:52+00,,26093.20,1200,SELL,-1200,10337325,0,0.0637,0.000016
2025-12-29 04:06:53+00,,26093.20,75,SELL,-75,10337325,0,0.0125,0.000000
2025-12-29 04:06:55+00,,26093.40,225,SELL,-225,10337325,0,0.0857,0.000114
2025-12-29 04:06:56+00,,26093.40,150,SELL,-150,10337325,0,0.0364,0.000048
2025-12-29 04:06:57+00,,26092.70,0,NEUTRAL,0,10337325,0,1.0000,0.000000
2025-12-29 04:06:58+00,,26092.70,300,SELL,-300,10337325,0,0.0195,0.000046
2025-12-29 04:06:59+00,,26093.00,150,SELL,-150,10337325,0,0.0099,0.000020
2025-12-29 04:07:00+00,,26093.00,450,SELL,-450,10337325,0,0.0294,0.000026
2025-12-29 04:07:01+00,,26096.90,0,NEUTRAL,0,10337325,0,1.0000,0.000000
2025-12-29 04:07:03+00,,26093.40,300,SELL,-300,10337325,0,0.0207,0.000048
2025-12-29 04:07:04+00,,26097.50,0,NEUTRAL,0,10337325,0,1.0000,0.000000
2025-12-29 04:07:05+00,,26096.90,450,BUY,450,10337325,0,0.0909,0.000121
2025-12-29 04:07:06+00,,26096.00,0,NEUTRAL,0,10337325,0,1.0000,0.000000
2025-12-29 04:07:07+00,,26093.00,375,SELL,-375,10337325,0,0.1282,0.001026
2025-12-29 04:07:08+00,,26093.00,75,SELL,-75,10337325,0,0.0313,0.000000
2025-12-29 04:07:09+00,,26097.20,75,BUY,75,10337325,0,0.0313,0.001750
2025-12-29 04:07:10+00,,26097.20,300,BUY,300,10337325,0,0.1081,0.000000
2025-12-29 04:07:11+00,,26095.80,0,NEUTRAL,0,10337325,0,1.0000,0.000000
2025-12-29 04:07:12+00,,26095.80,1350,SELL,-1350,10357275,19950,0.1452,0.000118
2025-12-29 04:07:13+00,,26095.80,450,SELL,-450,10357275,19950,0.0769,0.000000
2025-12-29 04:07:14+00,,26096.40,450,SELL,-450,10357275,0,0.0769,0.000103
2025-12-29 04:07:15+00,,26096.40,900,BUY,900,10357275,19950,0.1967,0.000743
2025-12-29 04:07:16+00,,26092.20,0,NEUTRAL,0,10357275,0,1.0000,0.000000
2025-12-29 04:07:17+00,,26096.30,0,NEUTRAL,0,10357275,0,1.0000,0.000000
2025-12-29 04:07:18+00,,26094.00,75,SELL,-75,10357275,0,0.0345,0.001057
2025-12-29 04:07:19+00,,26096.40,225,BUY,225,10357275,0,0.1364,0.001455
2025-12-29 04:07:20+00,,26096.30,300,BUY,300,10357275,0,0.1739,0.002377
2025-12-29 04:07:21+00,,26096.30,150,BUY,150,10357275,0,0.0500,0.000000
2025-12-29 04:07:23+00,,26094.00,0,NEUTRAL,0,10357275,0,1.0000,0.000000
2025-12-29 04:07:24+00,,26095.90,300,BUY,300,10357275,0,0.0784,0.000131
2025-12-29 04:07:25+00,,26096.00,150,BUY,150,10357275,0,0.0408,0.000544
2025-12-29 04:07:26+00,,26093.30,600,SELL,-600,10357275,0,0.1538,0.000667
2025-12-29 04:07:27+00,,26093.00,600,SELL,-600,10357275,0,0.1538,0.000769
2025-12-29 04:07:28+00,,26093.00,75,SELL,-75,10357275,0,0.0159,0.000000
2025-12-29 04:07:29+00,,26096.30,900,BUY,900,10357275,0,0.1237,0.000454
2025-12-29 04:07:32+00,,26096.20,225,BUY,225,10357275,0,0.0732,0.000033
2025-12-29 04:07:34+00,,26096.00,225,BUY,225,10357275,0,0.0588,0.000052
2025-12-29 04:07:35+00,,26093.40,2100,SELL,-2100,10357275,0,0.3684,0.000105
2025-12-29 04:07:36+00,,26093.40,75,SELL,-75,10357275,0,0.0208,0.000722
2025-12-29 04:07:37+00,,26099.60,1050,BUY,1050,10357275,0,0.2373,0.001582
2025-12-29 04:07:38+00,,26099.00,8475,BUY,8475,10357275,0,0.3610,0.000239
2025-12-29 04:07:39+00,,26099.00,75,BUY,75,10357275,0,0.0057,0.000069
2025-12-29 04:07:40+00,,26099.50,8475,BUY,8475,10357275,0,0.3951,0.000284
2025-12-29 04:07:41+00,,26099.50,300,BUY,300,10357275,0,0.0255,0.000000
2025-12-29 04:07:42+00,,26095.00,450,BUY,450,10357275,0,0.1875,0.001875
2025-12-29 04:07:43+00,,26095.00,0,NEUTRAL,0,10357275,0,1.0000,0.000000
