date,open,high,low,close,volume
2025-10-29T09:15:00+05:30,3057.9,3067.5,3050.8,3051.5,223660
2025-10-29T09:45:00+05:30,3050.6,3057.4,3046.1,3056.2,157002
2025-10-29T10:15:00+05:30,3056.2,3074.5,3054.4,3068,285745
2025-10-29T10:45:00+05:30,3067.2,3069,3053.2,3058.4,485573
2025-10-29T11:15:00+05:30,3058.6,3069.6,3055,3067.1,156202
2025-10-29T11:45:00+05:30,3067.4,3069.1,3060.2,3066.2,139473
2025-10-29T12:15:00+05:30,3066.2,3076,3066.2,3075.3,138971
2025-10-29T12:45:00+05:30,3075.3,3075.3,3070,3070.2,151458
2025-10-29T13:15:00+05:30,3070.9,3070.9,3058.8,3060.9,209710
2025-10-29T13:45:00+05:30,3060.9,3063.9,3060,3060.1,95719
2025-10-29T14:15:00+05:30,3060.1,3063.7,3058.2,3058.5,187765
2025-10-29T14:45:00+05:30,3058.6,3060,3055.5,3056.7,424043
2025-10-29T15:15:00+05:30,3056.3,3061.4,3055.6,3060,221958
2025-10-30T09:15:00+05:30,3049.1,3063.8,3045.1,3046.9,269205
2025-10-30T09:45:00+05:30,3046.7,3049.9,3042.1,3045.5,124686
2025-10-30T10:15:00+05:30,3045,3047.9,3038,3040.7,98136
2025-10-30T10:45:00+05:30,3040,3043,3036,3038.5,91954
2025-10-30T11:15:00+05:30,3039,3043.4,3035,3036,483402
2025-10-30T11:45:00+05:30,3036,3040,3032.8,3040,207146
2025-10-30T12:15:00+05:30,3040,3040,3036,3039.7,78175
2025-10-30T12:45:00+05:30,3039.7,3040,3035.4,3037,72348
2025-10-30T13:15:00+05:30,3037,3040,3034.5,3036,80036
2025-10-30T13:45:00+05:30,3036,3039.7,3035.4,3037.1,72572
2025-10-30T14:15:00+05:30,3037.2,3040,3035,3035.9,114256
2025-10-30T14:45:00+05:30,3037.3,3038.3,3033.3,3035.5,323668
2025-10-30T15:15:00+05:30,3035.5,3038,3033,3035.5,207708
2025-10-31T09:15:00+05:30,3035,3067.4,3025.1,3063.5,357530
2025-10-31T09:45:00+05:30,3063.5,3063.8,3054.1,3059.9,79743
2025-10-31T10:15:00+05:30,3058.6,3058.6,3050.6,3056.6,70354
2025-10-31T10:45:00+05:30,3056.6,3059,3052.2,3054.6,92299
2025-10-31T11:15:00+05:30,3054.2,3064.7,3053.7,3062,66429
2025-10-31T11:45:00+05:30,3062,3063.5,3061,3062,48334
2025-10-31T12:15:00+05:30,3062,3062.5,3060.2,3061.2,30964
2025-10-31T12:45:00+05:30,3061.5,3061.8,3053.1,3053.2,33288
2025-10-31T13:15:00+05:30,3053,3055,3043.7,3046,151573
